und_umls_cuii,umls_cui
C0597202,C0293183
C0006826,C0045542
C0079866,C0045542
C0480774,C0045542
C0014432,C0380337
C0025519,C0218075
C0751968,C0218075
C0020473,C0218075
C0598783,C0218075
C1149837,C0218075
C0598783,C0218075
C0006826,C0067099
C1566391,C0067563
C0016320,C0067563
C0021213,C0067563
C1450139,C0067563
C0020965,C0067649
C0020964,C0067649
C0234101,C0950602
C1152730,C0950602
C1657587,C0950602
C0027793,C0950602
C0598962,C0950602
C0596263,C0290327
C0480774,C0290327
C0007974,C0048880
C1566391,C0532119
C0016320,C0532119
C0021213,C0532119
C1450139,C0532119
C0597252,C2930755
C0597202,C2930755
C0014432,C0098961
C1753334,C0098961
C1566391,C0054677
C0016320,C0054677
C0021213,C0054677
C1450139,C0054677
C0014432,C0066167
C2263455,C0066167
C1150239,C0066167
C0277344,C0141132
C0597202,C0141132
C0006826,C0088459
C0018799,C0088459
C0007222,C0088459
C0014432,C0088459
C0018939,C0088459
C1753334,C0088459
C0032176,C0088459
C0678771,C0088459
C0007222,C0759116
C1158468,C0759116
C0014432,C0141130
C1151586,C0141130
C0014432,C0091333
C1151586,C0091333
C0234101,C0100278
C1152730,C0100278
C0027793,C0100278
C0020443,C1455833
C0025519,C1455833
C0020473,C1455833
C0598783,C1455833
C0006826,C0044133
C0007222,C0044884
C0042396,C0044884
C0027793,C0764637
C1152740,C0764637
C1152740,C0764637
C0027793,C0093299
C1152740,C0093299
C1152740,C0093299
C0014432,C0665709
C1150124,C0291062
C0014432,C0291062
C2263455,C0291062
C1152761,C0092100
C0020538,C0092100
C0007222,C0092100
C0027793,C0092100
C3178749,C0092100
C3159308,C0092100
C0018799,C0096325
C0007222,C0096325
C0014432,C0096325
C0018939,C0096325
C1753334,C0096325
C0032176,C0096325
C0678771,C0096325
C1566391,C0097797
C0016320,C0097797
C0021213,C0097797
C1450139,C0097797
C1149475,C0253503
C1149475,C0253503
C0007682,C0129914
C3179198,C0129914
C0683211,C0129914
C0152027,C0129914
C0234101,C0131383
C1152730,C0131383
C0027793,C0131383
C0518003,C1306149
C0234097,C1306149
C0234097,C1306149
C0017078,C1306149
C1148664,C1306149
C0027793,C1306149
C1148665,C1306149
C0683211,C1306149
C1153433,C0088645
C0007222,C0088645
C0018939,C0088645
C1519624,C0088645
C0032176,C0088645
C1566391,C0047956
C0016320,C0047956
C0021213,C0047956
C1450139,C0047956
C1566391,C0047876
C0016320,C0047876
C0021213,C0047876
C1450139,C0047876
C0030193,C0098942
C0030193,C0098942
C0021368,C0098942
C0021368,C0098942
C0035435,C0098942
C0014432,C0098942
C0683211,C0098942
C0152027,C0098942
C1150124,C0671700
C0014432,C0671700
C2263455,C0671700
C0021311,C0043922
C0024530,C0043922
C0030499,C0043922
C0033740,C0043922
C0006826,C0382334
C0021213,C0382334
C3179280,C0382334
C0005778,C0067241
C0018939,C0067241
C0033975,C0389977
C0007682,C0389977
C0151559,C0389977
C0234101,C0389977
C1152730,C0389977
C1152730,C0389977
C0027793,C0389977
C0004936,C0389977
C3179402,C0389977
C0009924,C0047499
C0234101,C0047499
C1152730,C0047499
C0027793,C0047499
